Segment	Lachesis_min	Lachesis_max	Lachesis_mean	MutationTimer_min	MutationTimer_max	MutationTimer_mean	Cor_coeff
chr_1_tetrasomic_III	0.00203596702607156	0.406507194138101	0.0698860908062093	8.34335654855347e-55	0.167367746613722	0.0588398379494471	0.693537715995703
chr_2_tetrasomic_III	0.0189166517074582	0.509454306350353	0.138696076932558	0.00901404271301382	0.177199629908084	0.0860780392840017	0.693537715995703
chr_3_trisomic_II	0.0101697174797935	1.45518251249499	0.266870173095501	8.07658721878078e-40	0.883338679787618	0.285876837872942	0.693537715995703
chr_3_tetrasomic_II	0.0103267775120118	0.748242943137766	0.15866395395367	6.66399355285612e-40	0.176228828698263	0.0631858540000627	0.693537715995703
chr_4_tetrasomic_III	0	0.305196001707186	0	8.8888159605168e-308	0.0649350649350649	9.5060948466638e-308	0.693537715995703
chr_5_tetrasomic_II	0	1.78592899044546	0	1.110747352639e-74	0.357142857142857	2.17554187625953e-66	0.693537715995703
chr_7_tetrasomic_III	0	0.812991237043496	0	2.58861047678423e-239	0.178571428571429	3.1513518847808e-239	0.693537715995703
chr_8_trisomic_II	0	0.404340852333826	0	1.41429839498889e-56	0.0925925925925948	1.55861455774285e-56	0.693537715995703
chr_10_trisomic_II	2.3971338168736e-11	0.48535922465864	0.0185744268191056	2.49836016951729e-57	0.155266551386302	1.73885793837221e-34	0.693537715995703
chr_11_tetrasomic_III	0	0.438984103812969	0	1.55319798600723e-160	0.0980392156862745	1.72202385405149e-160	0.693537715995703
chr_12_tetrasomic_II	0.00899813423923953	0.744087772768871	0.153163839809567	6.33303865159884e-34	0.271434541393081	0.117916329644907	0.693537715995703
chr_13_trisomic_II	0	3.29900500640371	0	1.08481808575613e-193	0.416666666666675	1.8596881470105e-193	0.693537715995703
chr_13_tetrasomic_III	0.0245797702086418	1.31908009809525	0.30013693320882	7.34982152235622e-121	0.161290322580645	8.76324873819395e-121	0.693537715995703
chr_14_tetrasomic_III	0	0.657490547815213	0	4.14363489572127e-308	0.294540229885058	1.00053574618551e-307	0.693537715995703
chr_16_trisomic_II	0	1.90248873451244	0	1.48558566970441e-172	0.416666666666667	2.54671829092184e-172	0.693537715995703
chr_18_tetrasomic_II	0.000582120103929754	1.0452017573028	0.126912903535457	7.40815726444523e-63	0.379476396816187	0.128438828940889	0.693537715995703
chr_19_tetrasomic_II	0.000719938635896422	1.47261818884516	0.175740681801485	1.3902844840271e-42	0.468639833287058	0.0920879089543453	0.693537715995703
chr_20_tetrasomic_II	0.000143457270850956	1.23760443894694	0.124150308218645	0.0838793601428068	0.380832464390006	0.110941299236552	0.693537715995703
chr_21_trisomic_II	0	1.74000184090224	0	1.28491593112542e-156	0.277777777777778	1.77911436617365e-156	0.693537715995703
chr_22_tetrasomic_II	0	1.65779077205339	0	1.53830621187223e-59	0.333333333569895	2.30745931780835e-59	0.693537715995703
